Reference, Value, Footprint, Datasheet
P18,CONN_01X18,Pin_Headers:Pin_Header_Straight_1x18,
P4,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P3,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P2,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P1,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P8,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P7,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P6,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P5,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P12,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P11,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P10,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P9,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P16,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P15,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P14,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P13,CONN_01X03,active_electrode_connectors:DF50A-3P-1V,
P17,CONN_01X20,Pin_Headers:Pin_Header_Straight_1x20,
P19,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
